Time;ROAZ;RNP;FD-1;FD-2;FD-3;FD-4;Close;Open
10:01:10;+;+;-;-;-;-;+;-
10:01:23;+;+;-;-;-;+;+;-
10:01:24;+;+;-;-;-;+;-;-
10:02:13;+;+;-;-;-;-;+;-
10:02:35;+;-;-;-;-;-;+;-
10:04:14;+;+;-;-;-;-;+;-
10:04:22;+;+;-;-;+;+;+;-
10:04:23;+;+;-;-;+;+;-;-
10:05:13;+;+;-;-;-;-;+;-
10:05:32;+;-;-;-;-;-;+;-
10:06:59;+;+;-;-;-;-;+;-
10:07:12;+;-;-;-;-;-;+;-
10:08:31;+;+;-;-;-;-;+;-
10:08:41;+;+;-;-;+;+;+;+
10:08:42;+;+;-;-;+;+;-;-
10:09:30;+;+;-;-;-;-;+;-
10:09:52;+;-;-;-;-;-;+;-
10:12:06;+;+;-;-;-;-;+;-
10:12:20;+;+;-;+;+;-;+;+
10:12:21;+;+;-;+;+;-;-;-
10:12:53;+;+;-;-;-;-;+;-
10:13:14;+;-;-;-;-;-;+;-
10:15:03;+;+;-;-;-;-;+;-
10:15:13;+;+;-;+;-;-;+;+
10:15:14;+;+;-;+;-;-;-;-
10:15:24;+;+;-;+;+;-;-;-
10:15:58;+;+;-;-;-;-;+;-
10:16:18;+;-;-;-;-;-;+;-
10:18:10;+;+;-;-;-;-;+;-
10:18:49;+;-;-;-;-;-;+;-
10:19:56;+;+;-;-;-;-;+;-
10:20:07;+;+;-;-;+;+;+;-
10:20:08;+;+;-;-;+;+;-;+
10:20:09;+;+;-;-;+;+;-;-
10:20:33;+;+;-;-;-;-;+;-
10:20:51;+;-;-;-;-;-;+;-
10:22:35;+;+;-;-;-;-;+;-
10:22:43;+;+;+;+;+;-;+;-
10:22:44;+;+;+;+;+;-;-;-
10:23:46;+;+;-;-;-;-;+;-
10:24:07;+;-;-;-;-;-;+;-
10:25:12;+;+;-;-;-;-;+;-
10:25:22;+;+;-;+;+;+;+;-
10:25:23;+;+;-;+;+;+;-;+
10:25:24;+;+;-;+;+;+;-;-
10:26:16;+;+;-;-;-;-;+;-
10:26:35;+;-;-;-;-;-;+;-
10:28:49;+;+;-;-;-;-;+;-
10:29:00;+;+;+;+;+;-;+;-
10:29:01;+;+;+;+;+;-;-;-
10:29:36;+;+;-;-;-;-;+;-
10:29:55;+;-;-;-;-;-;+;-
10:31:36;+;+;-;-;-;-;+;-
10:31:47;+;+;-;-;+;+;-;-
10:32:28;+;+;-;-;-;-;+;-
10:32:47;+;-;-;-;-;-;+;-
10:34:34;+;+;-;-;-;-;+;-
10:34:46;+;+;-;+;+;-;+;+
10:34:47;+;+;-;+;+;-;-;-
10:35:43;+;+;-;-;-;-;+;-
10:36:05;+;-;-;-;-;-;+;-
10:37:32;+;+;-;-;-;-;+;-
10:37:40;+;+;-;-;+;+;+;-
10:37:41;+;+;-;-;+;+;-;+
10:37:42;+;+;-;-;+;+;-;-
10:38:23;+;+;-;-;-;-;+;-
10:38:42;+;-;-;-;-;-;+;-
10:39:52;+;+;-;-;-;-;+;-
10:40:03;+;+;+;-;-;-;-;+
10:40:04;+;+;+;-;-;-;-;-
10:41:09;+;+;-;-;-;-;+;-
10:41:28;+;-;-;-;-;-;+;-
10:43:11;+;+;-;-;-;-;+;-
10:43:20;+;+;-;+;+;-;+;+
10:43:21;+;+;-;+;+;-;-;-
10:44:10;+;+;-;-;-;-;+;-
10:44:29;+;-;-;-;-;-;+;-
10:46:16;+;+;-;-;-;-;+;-
10:46:25;+;+;-;+;+;+;+;-
10:46:26;+;+;-;+;+;+;-;+
10:46:27;+;+;-;+;+;+;-;-
10:47:12;+;+;-;-;-;-;+;-
10:47:32;+;-;-;-;-;-;+;-
10:48:49;+;+;-;-;-;-;+;-
10:49:00;+;+;-;+;+;-;+;-
10:49:01;+;+;-;+;+;-;-;-
10:49:38;+;+;-;-;-;-;+;-
10:50:00;+;-;-;-;-;-;+;-
10:52:01;+;+;-;-;-;-;+;-
10:52:12;+;+;-;+;+;-;-;+
10:52:13;+;+;-;+;+;-;-;-
10:52:43;+;+;-;-;-;-;+;-
10:53:02;+;-;-;-;-;-;+;-
10:55:05;+;+;-;-;-;-;+;-
10:55:15;+;+;-;-;+;+;+;-
10:55:16;+;+;-;-;+;+;-;+
10:55:17;+;+;-;-;+;+;-;-
10:56:06;+;+;-;-;-;-;+;-
10:56:25;+;-;-;-;-;-;+;-
10:58:12;+;+;-;-;-;-;+;-
10:58:25;+;+;+;+;+;-;+;+
10:58:26;+;+;+;+;+;-;-;-
10:59:15;+;+;-;-;-;-;+;-
10:59:35;+;-;-;-;-;-;+;-
11:01:08;+;+;-;-;-;-;+;-
11:01:23;+;+;+;+;+;-;+;+
11:01:24;+;+;+;+;+;-;-;-
11:02:16;+;+;-;-;-;-;+;-
11:02:34;+;-;-;-;-;-;+;-
11:04:14;+;+;-;-;-;-;+;-
11:04:26;+;+;-;+;+;+;+;-
11:04:27;+;+;-;+;+;+;-;-
11:05:12;+;+;-;-;-;-;+;-
11:05:31;+;-;-;-;-;-;+;-
11:07:28;+;+;-;-;-;-;+;-
11:07:38;+;+;-;+;+;-;+;-
11:07:39;+;+;-;+;+;-;-;-
11:08:13;+;+;-;-;-;-;+;-
11:08:34;+;-;-;-;-;-;+;-
11:10:15;+;+;-;-;-;-;+;-
11:10:27;+;+;-;-;+;+;-;+
11:10:28;+;+;-;-;+;+;-;-
11:11:15;+;+;-;-;-;-;+;-
11:11:36;+;-;-;-;-;-;+;-
11:13:11;+;+;-;-;-;-;+;-
11:13:22;+;+;-;+;+;+;-;+
11:13:23;+;+;-;+;+;+;-;-
11:14:05;+;+;-;-;-;-;+;-
11:14:26;+;-;-;-;-;-;+;-
11:15:52;+;+;-;-;-;-;+;-
11:16:05;+;+;-;-;+;+;+;-
11:16:06;+;+;-;-;+;+;-;-
11:16:46;+;+;-;-;-;-;+;-
11:17:06;+;-;-;-;-;-;+;-
11:19:17;+;+;-;-;-;-;+;-
11:19:27;+;+;-;+;+;+;+;-
11:19:28;+;+;-;+;+;+;-;+
11:19:29;+;+;-;+;+;+;-;-
11:21:03;+;+;-;-;-;-;+;-
11:21:23;+;-;-;-;-;-;+;-
11:22:47;+;+;-;-;-;-;+;-
11:22:58;+;+;-;+;+;-;+;+
11:22:59;+;+;-;+;+;-;-;-
11:23:43;+;+;-;-;-;-;+;-
11:24:20;+;-;-;-;-;-;+;-
11:25:21;+;+;-;-;-;-;+;-
11:25:33;+;+;-;+;+;-;+;-
11:25:34;+;+;-;+;+;-;-;-
11:26:00;+;+;-;-;-;-;+;-
11:26:21;+;-;-;-;-;-;+;-
11:28:44;+;+;-;-;-;-;+;-
11:28:55;+;+;-;+;+;-;-;+
11:28:56;+;+;-;+;+;-;-;-
11:30:35;+;+;-;-;-;-;+;-
11:30:53;+;-;-;-;-;-;+;-
11:32:16;+;+;-;-;-;-;+;-
11:32:25;+;+;-;-;-;+;-;+
11:32:26;+;+;-;-;-;+;-;-
11:34:40;+;+;-;-;-;-;+;-
11:34:59;+;-;-;-;-;-;+;-
11:35:58;+;+;-;-;-;-;+;-
11:36:07;+;+;-;+;+;+;+;-
11:36:08;+;+;-;+;+;+;-;-
11:36:46;+;+;-;-;-;-;+;-
11:37:09;+;-;-;-;-;-;+;-
11:38:57;+;+;-;-;-;-;+;-
11:39:10;+;+;+;-;-;-;+;+
11:39:11;+;+;+;-;-;-;-;-
11:39:47;+;+;-;-;-;-;+;-
11:40:08;+;-;-;-;-;-;+;-
11:42:40;+;+;-;-;-;-;+;-
11:42:52;+;+;-;+;-;-;+;+
11:42:53;+;+;-;+;-;-;-;-
11:43:42;+;+;-;-;-;-;+;-
11:44:01;+;-;-;-;-;-;+;-
11:45:58;+;+;-;-;-;-;+;-
11:46:14;+;+;-;+;+;+;-;+
11:46:15;+;+;-;+;+;+;-;-
11:46:49;+;+;-;-;-;-;+;-
11:47:12;+;-;-;-;-;-;+;-
11:48:55;+;+;-;-;-;-;+;-
11:49:06;+;+;+;+;-;-;+;-
11:49:07;+;+;+;+;-;-;-;-
11:49:45;+;+;-;-;-;-;+;-
11:50:05;+;-;-;-;-;-;+;-
11:51:57;+;+;-;-;-;-;+;-
11:52:09;+;+;+;+;-;-;+;+
11:52:10;+;+;+;+;-;-;-;-
11:52:40;+;+;-;-;-;-;+;-
11:53:02;+;-;-;-;-;-;+;-
11:55:00;+;+;-;-;-;-;+;-
11:55:12;+;+;+;+;-;-;+;-
11:55:13;+;+;+;+;-;-;-;-
11:55:48;+;+;-;-;-;-;+;-
11:56:07;+;-;-;-;-;-;+;-
11:58:21;+;+;-;-;-;-;+;-
11:58:31;+;+;-;+;+;-;+;-
11:58:32;+;+;-;+;+;-;-;+
11:58:33;+;+;-;+;+;-;-;-
11:59:03;+;+;-;-;-;-;+;-
11:59:25;+;-;-;-;-;-;+;-
12:01:51;+;+;-;-;-;-;+;-
12:02:01;+;+;-;+;+;+;+;+
12:02:02;+;+;-;+;+;+;-;-
12:02:40;+;+;-;-;-;-;+;-
12:03:01;+;-;-;-;-;-;+;-
12:04:03;+;+;-;-;-;-;+;-
12:04:13;+;+;-;+;+;-;+;+
12:04:14;+;+;-;+;+;-;-;-
12:05:42;+;+;-;-;-;-;+;-
12:06:01;+;-;-;-;-;-;+;-
12:07:51;+;+;-;-;-;-;+;-
12:08:02;+;+;+;+;+;-;+;-
12:08:03;+;+;+;+;+;-;-;+
12:08:04;+;+;+;+;+;-;-;-
12:09:10;+;+;-;-;-;-;+;-
12:09:30;+;-;-;-;-;-;+;-
12:10:59;+;+;-;-;-;-;+;-
12:11:10;+;+;+;+;+;-;+;-
12:11:11;+;+;+;+;+;-;-;+
12:11:12;+;+;+;+;+;-;-;-
12:12:07;+;+;-;-;-;-;+;-
12:12:26;+;-;-;-;-;-;+;-
12:14:39;+;+;-;-;-;-;+;-
12:14:51;+;+;-;-;+;+;+;-
12:14:52;+;+;-;-;+;+;-;+
12:14:53;+;+;-;-;+;+;-;-
12:15:38;+;+;-;-;-;-;+;-
12:15:58;+;-;-;-;-;-;+;-
12:17:59;+;+;-;-;-;-;+;-
12:18:09;+;+;-;+;+;-;+;-
12:18:10;+;+;-;+;+;-;-;-
12:18:42;+;+;-;-;-;-;+;-
12:19:02;+;-;-;-;-;-;+;-
12:21:02;+;+;-;-;-;-;+;-
12:21:11;+;+;-;-;-;+;+;-
12:21:12;+;+;-;-;-;+;-;+
12:21:13;+;+;-;-;-;+;-;-
12:22:05;+;+;-;-;-;-;+;-
12:22:23;+;-;-;-;-;-;+;-
12:24:09;+;+;-;-;-;-;+;-
12:24:22;+;+;+;+;-;-;-;+
12:24:23;+;+;+;+;-;-;-;-
12:25:07;+;+;-;-;-;-;+;-
12:25:25;+;-;-;-;-;-;+;-
12:27:10;+;+;-;-;-;-;+;-
12:27:22;+;+;+;+;+;-;+;-
12:27:23;+;+;+;+;+;-;-;+
12:27:24;+;+;+;+;+;-;-;-
12:28:16;+;+;-;-;-;-;+;-
12:28:34;+;-;-;-;-;-;+;-
12:30:33;+;+;-;-;-;-;+;-
12:30:44;+;+;+;+;+;-;+;-
12:30:45;+;+;+;+;+;-;-;+
12:30:46;+;+;+;+;+;-;-;-
12:31:20;+;+;-;-;-;-;+;-
12:31:40;+;-;-;-;-;-;+;-
12:33:22;+;+;-;-;-;-;+;-
12:33:34;+;+;-;+;+;-;-;+
12:33:35;+;+;-;+;+;-;-;-
12:34:16;+;+;-;-;-;-;+;-
12:34:34;+;-;-;-;-;-;+;-
12:36:25;+;+;-;-;-;-;+;-
12:36:38;+;+;-;-;+;+;+;-
12:36:39;+;+;-;-;+;+;-;+
12:36:40;+;+;-;-;+;+;-;-
12:37:14;+;+;-;-;-;-;+;-
12:37:34;+;-;-;-;-;-;+;-
12:39:42;+;+;-;-;-;-;+;-
12:39:53;+;+;-;+;+;-;+;-
12:39:54;+;+;-;+;+;-;-;-
12:40:42;+;+;-;-;-;-;+;-
12:41:01;+;-;-;-;-;-;+;-
12:43:16;+;+;-;-;-;-;+;-
12:43:30;+;+;+;+;+;-;+;-
12:43:31;+;+;+;+;+;-;-;+
12:43:32;+;+;+;+;+;-;-;-
12:44:17;+;+;-;-;-;-;+;-
12:44:36;+;-;-;-;-;-;+;-
12:46:06;+;+;-;-;-;-;+;-
12:46:18;+;+;-;+;+;+;-;+
12:46:19;+;+;-;+;+;+;-;-
12:47:01;+;+;-;-;-;-;+;-
12:47:21;+;-;-;-;-;-;+;-
12:49:24;+;+;-;-;-;-;+;-
12:49:35;+;+;-;+;+;-;+;-
12:49:36;+;+;-;+;+;-;-;-
12:50:12;+;+;-;-;-;-;+;-
12:50:30;+;-;-;-;-;-;+;-
12:52:28;+;+;-;-;-;-;+;-
12:52:39;+;+;-;+;+;+;+;-
12:52:40;+;+;-;+;+;+;-;+
12:52:41;+;+;-;+;+;+;-;-
12:53:14;+;+;-;-;-;-;+;-
12:53:35;+;-;-;-;-;-;+;-
12:55:40;+;+;-;-;-;-;+;-
12:55:51;+;+;-;-;+;-;+;-
12:55:52;+;+;-;-;+;-;-;-
12:56:45;+;+;-;-;-;-;+;-
12:57:03;+;-;-;-;-;-;+;-
12:59:25;+;+;-;-;-;-;+;-
12:59:38;+;+;-;+;+;+;+;-
12:59:39;+;+;-;+;+;+;-;+
12:59:40;+;+;-;+;+;+;-;-
